Dataset ACC NMI PURITY FSCORE TIME
Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:32.3014

Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:32.5461

Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:30.3882

Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:32.2950

Dataset:Caltech101-7	 0.0278	 0.0132	 0.0325	 0.0198	 0.9732	 0.0387	 0.0000	 Time:97.7724

Dataset:Caltech101-7	 0.0272	 0.0137	 0.0325	 0.0198	 0.9719	 0.0387	 0.0000	 Time:152.9339

Dataset:Caltech101-7	 0.0283	 0.0146	 0.0333	 0.0198	 0.9699	 0.0387	 0.0000	 Time:234.3386

Dataset:Caltech101-7	 0.0272	 0.0146	 0.0328	 0.0198	 0.9695	 0.0387	 0.0000	 Time:331.9751

Dataset:Caltech101-7	 0.0278	 0.0145	 0.0328	 0.0198	 0.9695	 0.0387	 0.0000	 Time:460.3901

Dataset:Caltech101-7	 0.0293	 0.0151	 0.0338	 0.0198	 0.9690	 0.0387	 0.0000	 Time:622.1394

Dataset:Caltech101-7	 0.0423	 0.0435	 0.0490	 0.0230	 0.5919	 0.0442	 0.0064	 Time:12.5272

Dataset:Caltech101-7	 0.0272	 0.0127	 0.0323	 0.0198	 0.9742	 0.0387	 0.0000	 Time:11.4880

Dataset:Caltech101-7	 0.0305	 0.0207	 0.0367	 0.0199	 0.9451	 0.0389	 0.0002	 Time:10.9370

Dataset:Caltech101-7	 0.0365	 0.0332	 0.0413	 0.0199	 0.7671	 0.0387	 0.0002	 Time:14.7842

Dataset:Caltech101-7	 0.0290	 0.0182	 0.0352	 0.0198	 0.9565	 0.0388	 0.0001	 Time:10.5667

Dataset:Caltech101-7	 0.0295	 0.0186	 0.0355	 0.0198	 0.9558	 0.0388	 0.0001	 Time:10.7247

Dataset:Caltech101-7	 0.1179	 0.0354	 0.1200	 0.0850	 0.9418	 0.1559	 0.0045	 Time:7.2014

Dataset:Caltech101-7	 0.1338	 0.0474	 0.1388	 0.0838	 0.7965	 0.1517	 0.0019	 Time:240.1780

Dataset:Caltech101-7	 0.1421	 0.0549	 0.1471	 0.0845	 0.7912	 0.1527	 0.0033	 Time:1466.5198

Dataset:Caltech101-7	 0.1421	 0.0549	 0.1475	 0.0844	 0.7838	 0.1524	 0.0031	 Time:5478.6806

